== Phase 1 ==
MEM: abs=16642998272 bytes
== Phase 2 ==
CPU: threads=12 util=0.66 duration=416s
[metrics] name=MD elapsed_s=285.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=286.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=287.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=288.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=289.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=290.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=291.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=292.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=293.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=294.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=295.0 alloc_bytes=16642998272 VmRSS_kib=16255744
